BBL,RentRegulated
2025230066,1
2025240033,1
2025230169,1
2025230164,1
2025230163,1
2025230161,1
2025230159,1
2025250003,1
2025250003,1
2025250007,1
2025260006,1
2025260070,1
2028430031,1
2028430035,1
2028430024,1
2028430018,1
2028440038,1
2028440033,1
2028440021,1
2028450007,1
2028460061,1
2028450017,1
2028460047,1
2028450020,1
2028450027,1
2028460037,1
2028470029,1
2028470025,1
2028470022,1
2024630063,1
2024630011,1
2024630060,1
2025370006,1
2025260044,1
2025260055,1
2025260062,1
2025280018,1
2025320015,1
2025320020,1
2025340001,1
2025340003,1
2025340008,1
2025330086,1
2025330084,1
2025370038,1
2025370036,1
2028750039,1
2025240103,1
2025240104,1
2025240105,1
2025240106,1
2025240108,1
2025240109,1
2025110077,1
2025240064,1
2025110064,1
2025120045,1
2025240050,1
2025250001,1
2025090056,1
2025270168,1
2025270055,1
2025270050,1
2025280019,1
2025280019,1
2025280057,1
2025280056,1
2025280050,1
2028550025,1
2028550020,1
2025170030,1
2025170024,1
2025170023,1
2025180036,1
2025210001,1
2025350026,1
2025340038,1
2025320026,1
2028590092,1
2028730080,1
2024760091,1
2024760050,1
2024760047,1
2024760044,1
2024770034,1
2024710011,1
2024710015,1
2024770021,1
2024780064,1
2024780058,1
2024780046,1
2024630001,1
2024790042,1
2024790036,1
2024630006,1
2024630034,1
2024650010,1
2024650025,1
2024810028,1
2028410041,1
2028430065,1
2028430074,1
2028430079,1
2028440065,1
2028440075,1
2028440058,1
2028440083,1
2028450001,1
2028350001,1
2028450077,1
2028450070,1
2028450062,1
2028360005,1
2028450047,1
2028450045,1
2028470069,1
2028380004,1
2028470063,1
2028470051,1
2025110044,1
2025070015,1
2025080014,1
2025120069,1
2025090006,1
2028330006,1
2028430093,1
2028430085,1
2028440105,1
2028440095,1
2028780061,1
2028780079,1
2028780081,1
2028780082,1
2028780083,1
2028780044,1
2028780044,1
2028780169,1
2028780195,1
2028790028,1
2028790204,1
2032210084,1
2032210082,1
2032210080,1
2032210078,1
2032160016,1
2032160026,1
2032100080,1
2028790253,1
2028790263,1
2028760095,1
2028760100,1
2031960086,1
2031960029,1
2031960010,1
2031960110,1
2031960109,1
2032080015,1
2032080048,1
2028810040,1
2028070022,1
2028070016,1
2028080062,1
2028070070,1
2028080073,1
2028070067,1
2028070059,1
2031690059,1
2031690055,1
2031600005,1
2031600009,1
2031690053,1
2031690051,1
2031610001,1
2031690045,1
2031610007,1
2031690043,1
2031610010,1
2031690034,1
2031620001,1
2031620009,1
2031620011,1
2031700040,1
2031700034,1
2031700032,1
2031630003,1
2031710037,1
2031710037,1
2031630006,1
2031710031,1
2031630011,1
2028610010,1
2028610011,1
2028610013,1
2028670058,1
2028610021,1
2028610050,1
2028610052,1
2028610057,1
2028670039,1
2028610067,1
2028670155,1
2028610114,1
2028610119,1
2028670147,1
2028610123,1
2028670139,1
2028670134,1
2028610135,1
2028700061,1
2028630010,1
2028630013,1
2028630014,1
2028630015,1
2031920001,1
2031930030,1
2031930028,1
2031930024,1
2031940048,1
2031950051,1
2031950022,1
2031960018,1
2031960093,1
2031960074,1
2031960058,1
2028680100,1
2032110042,1
2028500067,1
2028510036,1
2028500047,1
2028260024,1
2028270042,1
2028280042,1
2028060001,1
2028050041,1
2028050045,1
2028080009,1
2028080032,1
2028540015,1
2028290009,1
2028290030,1
2028070035,1
2031820001,1
2031820058,1
2031810022,1
2031700027,1
2031700030,1
2031710044,1
2031710042,1
2031620017,1
2031630001,1
2031720044,1
2028480020,1
2028540001,1
2028280017,1
2028280022,1
2028290024,1
2028280024,1
2028070001,1
2028650162,1
2028650166,1
2028660020,1
2028670013,1
2028660050,1
2,1
2028670030,1
2028670103,1
2028670094,1
2028670108,1
2028670118,1
2028690148,1
2028700016,1
2028690142,1
2028700020,1
2031930001,1
2031930016,1
2031950012,1
2032070058,1
2031960001,1
2031960004,1
2031960006,1
2031960008,1
2031960108,1
2031960009,1
2032080019,1
2031960053,1
2031960056,1
2032080043,1
2028220012,1
2028260062,1
2028260054,1
2028260072,1
2028050026,1
2028050016,1
2028050056,1
2028050051,1
2028060033,1
2028080012,1
2028080051,1
2028080096,1
2031600035,1
2031600024,1
2031600020,1
2031610030,1
2031610026,1
2031610018,1
2031620045,1
2031620034,1
2031620029,1
2031630030,1
2031630021,1
2028670060,1
2028670070,1
2028660110,1
2028690001,1
2028690005,1
2028690009,1
2028690070,1
2028690087,1
2032280005,1
2032280009,1
2032280086,1
2028260048,1
2028260051,1
2028790094,1
2028790053,1
2028790068,1
2028790069,1
2028790200,1
2032280001,1
2032210007,1
2032210010,1
2032210011,1
2032210013,1
2032210015,1
2032210017,1
2032280097,1
2032240017,1
2028660004,1
2028760028,1
2028760194,1
2028760185,1
2028760184,1
2028780005,1
2028770240,1
2028780009,1
2028770233,1
2028780120,1
2028780126,1
2028780132,1
2028260032,1
2028260076,1
2028050001,1
2028050008,1
2028270053,1
2028050031,1
2028270046,1
2028060005,1
2028280030,1
2028280026,1
2028290016,1
2028290068,1
2028290063,1
2028070041,1
2028290062,1
2028070052,1
2028070056,1
2031780055,1
2031690002,1
2031780050,1
2031690009,1
2031780045,1
2031800020,1
2031800018,1
2031800016,1
2031810045,1
2031700015,1
2031810030,1
2031700021,1
2031710005,1
2031820050,1
2031820045,1
2031710013,1
2031820037,1
2031820035,1
2031820031,1
2028270032,1
2028270060,1
2028050012,1
2028050065,1
2028050060,1
2028760219,1
2028760215,1
2028760213,1
2028760163,1
2028760165,1
2028760167,1
2028760170,1
2028760171,1
2028760174,1
2032280021,1
2028770550,1
2028790080,1
2028770202,1
2028770211,1
2028770216,1
2028770290,1
2028770268,1
2028770424,1
2028770431,1
2028800009,1
2028800017,1
2028800091,1
2028810001,1
2028810084,1
2028810075,1
2028810058,1
2032300005,1
2032300010,1
2032300016,1
2028490064,1
2028490024,1
2028500023,1
2028500040,1
2028500016,1
2028800061,1
2028800058,1
2028800047,1
2028800135,1
2028770166,1
2028770250,1
2028770254,1
2028770261,1
2028800115,1
2028770350,1
2028760065,1
2028760067,1
2028780001,1
2028760070,1
2028780019,1
2028760073,1
2028780017,1
2028780015,1
2028760078,1
2028760080,1
2028760082,1
2028760083,1
2028760087,1
2028760088,1
2028760091,1
2028760093,1
2028780090,1
2028780100,1
2028760106,1
2028780211,1
2028760112,1
2028680001,1
2028790100,1
2028790123,1
2028790121,1
2028790120,1
2028790117,1
2028790113,1
2028680127,1
2028680129,1
2032160052,1
2032160048,1
2032110009,1
2032110023,1
2032110035,1
2028650178,1
2028660009,1
2028760025,1
2028760023,1
2028760014,1
2028660045,1
2028660086,1
2028780023,1
2028660074,1
2028660072,1
2028780097,1
2032160060,1
2032210026,1
2032060066,1
2032060022,1
2031950104,1
2031940031,1
2031960038,1
2031950061,1
2031960023,1
2031950016,1
2032080001,1
2032170031,1
2032180001,1
2032170027,1
2032240032,1
2032250001,1
2032250007,1
2032240020,1
2032230034,1
2032230030,1
2032250052,1
2028690167,1
2028690171,1
2028690040,1
2028690034,1
2028620008,1
2028620006,1
2028690047,1
2028670125,1
2028690058,1
2028790050,1
2028770516,1
2028810015,1
2028490076,1
2028490070,1
2028260002,1
2028260006,1
2028500060,1
2028260015,1
2028500052,1
2028510029,1
2028520027,1
2028270036,1
2028520021,1
2028280005,1
2028540021,1
2028540018,1
2028290006,1
2028540064,1
2028290035,1
2028540056,1
2028290042,1
2031790060,1
2031790052,1
2031790047,1
2031790041,1
2031800009,1
2031810001,1
2031860032,1
2031810014,1
2031810015,1
2031860030,1
2031860027,1
2031820004,1
2031860076,1
2031820008,1
2031820016,1
2031820019,1
2023090029,1
2023090027,1
2022960005,1
2023090026,1
2022960006,1
2023090025,1
2023010053,1
2023010002,1
2023150015,1
2023150014,1
2023150041,1
2025550023,1
2025540010,1
2025540018,1
2025540018,1
2025550045,1
2022650025,1
2022660001,1
2022660005,1
2022840062,1
2022840062,1
2022840062,1
2022680005,1
2022680006,1
2022680007,1
2022640003,1
2022820043,1
2022960051,1
2022960049,1
2022960045,1
2022950067,1
2022950071,1
2022600018,1
2025460140,1
2025500044,1
2025660001,1
2025500038,1
2025510044,1
2025520040,1
2025540054,1
2025540049,1
2025540044,1
2025710014,1
2025710014,1
2022950073,1
2025620067,1
2025620066,1
2025620065,1
2022960012,1
2022780013,1
2022800062,1
2022810001,1
2022800010,1
2022810060,1
2022810010,1
2022810010,1
2022810010,1
2025640005,1
2025650066,1
2022820001,1
2022820075,1
2022810035,1
2022820045,1
2025500001,1
2025500075,1
2025500073,1
2025660039,1
2025660026,1
2025660025,1
2023010050,1
2023010049,1
2023010047,1
2023010046,1
2023010045,1
2023010044,1
2023010042,1
2023010041,1
2023010040,1
2023010033,1
2023010031,1
2023010029,1
2022820012,1
2022820015,1
2022820027,1
2022820032,1
2022650002,1
2022650003,1
2022830062,1
2022650004,1
2022830061,1
2022660002,1
2022650027,1
2022650029,1
2022650031,1
2022660041,1
2022660040,1
2022650033,1
2022660039,1
2022660037,1
2022650035,1
2022650037,1
2022650039,1
2022660028,1
2022650041,1
2022650042,1
2022650043,1
2025500008,1
2025500010,1
2025500017,1
2025510065,1
2025510064,1
2025510062,1
2025517501,1
2025500030,1
2025510040,1
2025510045,1
2025660003,1
2025660005,1
2025660010,1
2025900102,1
2023140088,1
2023140087,1
2023140020,1
2023140022,1
2023010004,1
2023010005,1
2023010006,1
2023010011,1
2023010021,1
2023010022,1
2022830120,1
2022830028,1
2022830040,1
2022830048,1
2022840062,1
2022660008,1
2022660010,1
2022670067,1
2022670065,1
2022660020,1
2025510008,1
2025510009,1
2025520061,1
2025520055,1
2025510030,1
2022830121,1
2022830122,1
2023150020,1
2023030063,1
2022850001,1
2022850070,1
2022850060,1
2022850048,1
2025520027,1
2025680045,1
2025680009,1
2025680076,1
2023150025,1
2023150010,1
2023150011,1
2023150042,1
2023150012,1
2023030016,1
2022850009,1
2022860096,1
2022670039,1
2025560001,1
2025530009,1
2025530019,1
2025550003,1
2025530023,1
2025540008,1
2025530031,1
2025540005,1
2025540003,1
2025530036,1
2025540002,1
2025680051,1
2025680054,1
2025680057,1
2025680060,1
2022680011,1
2022680013,1
2022680014,1
2022680018,1
2022870133,1
2022890001,1
2022880011,1
2022880032,1
2022880034,1
2022880035,1
2023070031,1
2022710119,1
2025660020,1
2025730071,1
2023170043,1
2023170043,1
2023170043,1
2023170043,1
2025550013,1
2025550030,1
2025550028,1
2025720001,1
2025500002,1
2022650049,1
2025500003,1
2022650048,1
2025500004,1
2025500007,1
2022650045,1
2022660023,1
2022660022,1
2025520001,1
2025520002,1
2025520003,1
2025520004,1
2022670054,1
2022670042,1
2022670040,1
2,1
2025560017,1
2025560022,1
2025560023,1
2025560027,1
2025730049,1
2022957501,1
2022780004,1
2022780005,1
2022810002,1
2022810004,1
2022820002,1
2022820003,1
2022820007,1
2023010028,1
2023010026,1
2023010025,1
2022840004,1
2022840006,1
2022850002,1
2022850003,1
2022850004,1
2022870002,1
2023760049,1
2023760049,1
2026860064,1
2026860011,1
2026860001,1
2026860009,1
2026860006,1
2026850003,1
2026830131,1
2026030150,1
2026030026,1
2026030208,1
2026030030,1
2026850064,1
2026850063,1
2026850062,1
2026850060,1
2026850059,1
2026850056,1
2027070040,1
2027070042,1
2027070059,1
2027080046,1
2027070060,1
2023610025,1
2022910041,1
2023597501,1
2026230056,1
2026230054,1
2026230049,1
2026240084,1
2026240082,1
2026240080,1
2026240071,1
2026240069,1
2025800011,1
2026420070,1
2026430060,1
2026430018,1
