,"NYC Borough, Block and Lot (BBL)",Address 1,City,Postcode
258,3072740035,3000 Ocean Parkway,Brooklyn,11235
259,3072740035,3000 Ocean Parkway,Brooklyn,11235
260,1-01162-7501,240 West End Ave,New York,10023
261,4099450048,86-75 MIDLAND PKWY ENTM,Queens,11432
262,4099450048,86-75 MIDLAND PKWY ENTM,Queens,11432
263,4096440001,86-25 VAN WYCK EXPY ENTM,Queens,11435
264,4096440001,86-25 VAN WYCK EXPY ENTM,Queens,11435
265,3064410001,8800 20 AVE PLPM,Brooklyn,11214
266,3064410001,8800 20 AVE PLPM,Brooklyn,11214
267,3063780019,8635 21 Ave,Brooklyn,11214
268,3063780019,8635 21 Ave,Brooklyn,11214
269,3064710090,8855 BAY PKWY HCM,Brooklyn,11214
270,3064710090,8855 BAY PKWY HCM,Brooklyn,11214
271,3068780048,8700 25 Ave,Brooklyn,11214
272,3068780048,8700 25 Ave,Brooklyn,11214
273,1012927501,725 Fifth Ave.,New York,10022
274,1012927501,725 Fifth Ave.,New York,10022
275,1010117505,100 Central Park South,New York,10019
276,1010117505,100 Central Park South,New York,10019
277,1010117502,106 Central Park South,New York,10019
278,1010117502,106 Central Park South,New York,10019
279,1013407501,845 1st Ave,New York,10017
280,1013407501,845 1st Ave,New York,10017
281,1014237501,200 E. 69Th Street,New York,10021
282,1014237501,200 E. 69Th Street,New York,10021
283,1013747502,502 PARK AVE,New York,10022
284,1013747502,502 PARK AVE,New York,10022
285,1008497508,254 Park Avenue South,New York,10010
286,1-01164-0047,240 West 73rd Street,New York,10017
287,3064890001,1483 SHORE PKWY ENTM,Brooklyn,10001
288,3064890001,1483 SHORE PKWY ENTM,Brooklyn,10001
289,3064690001,2038 CROPSEY AVE PLPM,Brooklyn,11214
290,3064690001,2038 CROPSEY AVE PLPM,Brooklyn,11214
291,3072380082,9 NIXON COURT PLPM,Brooklyn,11223
292,3072380082,9 NIXON COURT PLPM,Brooklyn,11223
293,3072340100,2611 W 2 ST PLPM,Brooklyn,11223
294,3072340100,2611 W 2 ST PLPM,Brooklyn,11223
295,3072350001,2612 WEST ST PLPM,Brooklyn,11235
296,3072350001,2612 WEST ST PLPM,Brooklyn,11235
