10344,80 ELIZABETH STREET,New York,NY,10013
10345,"135-11 40th ROAD,",Flushing,NY,11354
10346,173 Henry Street,New York,NY,10002
10347,179 Grand St,New York,NY,10013
10348,200 Bowery,New York,NY,10012
10349,424 Broadway,New York,NY,10013
10350,7 Chatham Square,New Yok,NY,10038
10351,172 East 4th Street,New York,NY,10009
10352,15 E 16th St,New York,NY,10003
10353,140 Thompson St,New York,NY,10012
10354,31 E 12th St,New York,NY,10003
10355,15 W 11th St,New York,NY,10011
10356,112 East 19th Street,New York,NY,10003
10357,54 Riverside Dr,New York,NY,10024
10358,305 W 18th St,New York,NY,10011
10359,16 E 98th St,New York,NY,10029
10360,200 E 28th St,New York,NY,10016
10361,222 W 15th St,New York,NY,10011
10362,243 Riverside Drive,New York,NY,10025
10363,230 E 50th St,New York,NY,10022
10364,230 E 71st St,New York,NY,10021
10365,30 E 21st St,New York,NY,10010
10366,312 W 23rd St,New York,NY,10011
10367,32 Morton St,New York,NY,10014
10368,160 W 16th St,New York,NY,10011
10369,133 W 17th St,New York,NY,10011
10370,350 E 54th St,New York,NY,10022
10371,40 East 19th St,New York,NY,10003
10372,136 W 22nd St,New York,NY,10011
10373,193 Bleecker St,New York,NY,10012
10374,102 Fulton St,New York,NY,10038
10375,105 E 16th St,New York,NY,10003
10376,105 E 19th St,New York,NY,10003
10377,315 E 56th St,New York,NY,10022
10378,319 W 18th St,New York,NY,10011
10379,333 E 41st St,New York,NY,10017
10380,4 West 109th St,New York,NY,10025
10381,420 West 14th St,New York,NY,10014
10382,43 Walker St,New York,NY,10013
10383,45 Morningisde Drive,New York,NY,10025
10384,61 East 11th St,New York,NY,10003
10385,65 Cooper Square,New York,NY,10003
10386,8684 20 Ave,Brooklyn,NY,11214
10387,2744 Bedford Ave,Brooklyn,NY,11210
10388,367 95 St,Brooklyn,NY,11209
10389,752 60 St,Brooklyn,NY,11220
10390,969 43 St,Brooklyn,NY,11219
10391,69-39 Yellowstone Blvd,Forest Hills,NY,11375
10392,1001 St. Nicholas Ave,New York,NY,10032
10393,1155 Walton Ave,Bronx,NY,10452
