,"NYC Borough, Block and Lot (BBL)",Address 1,City,Postcode
248,1-01823-0010,133 West 113th Street,New York,10026
249,2-03263-0085,3900 Bailey Avenue,Bronx,10463
250,1-01397-0069,575 Park Avenue,New York,10065
251,1-00752-0001; 1-00749-0001; 1-00749-0024; 1-00747-0001; 1-00751-0001; 1-00748-0001,321 Eighth Ave,New York,10001
252,1-01312-7502,465 Park Avenue,New York,10022
253,1-01871-0001,808 West End Avenue,New York,10025
254,1-01871-0061,820 West End Avenue,New York,10025
255,2-05519-0091,280 Longstreet Ave.,Bronx,10465
256,2039447501,1601 Metropolitan Avenue,New York,10462
257,1-00835-0015,35-39 West 33rd Street,New York,10001
258,2039447501,2200 E. Tremont Avenue,New York,10462
259,2039447501,1705 Purdy Street,New York,10462
260,2039447501,2090 E. Tremont Avenue,New York,10462
261,2039627501,1718 Purdy St.,New York,10462
262,2039447501,1564 Unionport Road,New York,10462
263,2039447501,1515 Metropolitan Avenue,New York,10462
264,2039447501,1561 Metropolitan Avenue,New York,10462
265,2039447501,1501 Metropolitan Avenue,New York,10462
266,2039447501,1591 Metropolitan Avenue,New York,10462
267,2039447501,1 Metropolitan Oval,New York,10462
268,2039447501,2140 E. Tremont Avenue,New York,10462
269,2039447501,7 Metropolitan Oval,New York,10462
270,2039447501,1594 Unionport Road,New York,10462
271,2039447501,1936 E. Tremont Avenue,New York,10462
272,2039447501,1950 E. Tremont Avenue,New York,10462
273,3053210051,70 East 8th.Street,brooklyn,11218
274,3086890015,3091 Brighton 5 Sr,Brooklyn,11235
275,3086880041,3115 Brighton 4th St,Brooklyn,11235
276,3-05097-0060,105 Buckingham Road,Brooklyn,11235
277,3-01699-0027,1600 Fulton Street,Brooklyn,11213
278,4-00194-0023,45-08 40th Street,Queens,11104
279,1-01344-7502,351 East 51st Street,New York,10022
280,1-01499-7501,60 East 88th Street,New York,10128
281,1-00718-7501,177 9th Avenue,New York,10011
282,1-01011-0052,150 Central Park South,New York,10019
283,1014860001,501 East 74th Street,NEW YORK,10021
284,243407502,2385 Barker Avenue,Bronx,10467
285,4-00571-0001,30-60 Crescent Street,Queens,11102
286,4-00578-0013,30-91 Crescent Street,Queens,11102
287,4-00581-0033,33-43 Crescent Street,Queens,11106
288,4-06233-0034,3824 213th St,Bayside,11361
289,2-03130-0020,999 East Tremont Avenue,Bronx,10460
290,2-03130-0020,1001-1005 E. Tremont Ave.,Bronx,10460
291,2-03136-0001,1001-1005 East 178th Street,Bronx,10460
292,2-02987-0025,950 Jennings Street,Bronx,10460
293,2-03130-0020,990-1000 178th Street,Bronx,10460
294,2-03179-0052,2075 Walton Avenue,Bronx,10453
295,2-03070-0030,2111 Hughes Avenue,Bronx,10457
296,2-03098-0001,2130 Crotona Avenue,Bronx,10457
297,2-03209-0009,54 Evelyn Place,Bronx,10468
298,2-03291-0024,321 East 198th Street,Bronx,10458
299,2-03291-0016,323 East 198th Street,Bronx,10458
300,2-03291-0008,325 East 198th Street,Bronx,10458
301,2-03324-0030,21 West Mosholu Pkwy North,Bronx,10467
302,2-03293-0135,240 East 194th Street,Bronx,10458
303,2-03130-0020;2-03131-0020;2-03136-0001,1 West Farms Square Plaza,Bronx,10460
304,2-03136-0001,1000 - 1010 East 179th Street (Building 7&8),Bronx,10460
305,2-03031-0021,2350 Webster Avenue,Bronx,10460
306,2-03187-0047,2323 Walton Avenue,Bronx,10468
307,02-3294-30,2690-2694-2698 Briggs Avenue,Bronx,10458
308,2-03131-0020,999 East 178th Street,Bronx,10460
309,02-3206-22,56-58 West 180th Street,Bronx,10453
310,02-3179-47,2085 Walton Ave,Bronx,10453
311,02-3170-27,100 East 182nd Street,Bronx,10453
312,02-3195-16,38 West 182nd Street,Bronx,10453
313,02-3182-4,2240 Walton Ave,Bronx,10453
314,2-4048-14,1830 Amethyst Street,Bronx,10462
315,02-3152-29,2385 Valentine Avenue,Bronx,10458
316,02-3172-8,2314 Morris Ave,Bronx,10468
317,02-3209-45,2333 Grand Ave,Bronx,10468
318,02-3293-39,2600 Briggs Ave,Bronx,10458
319,02-3197-9,2285 Davidson Ave,Bronx,10468
320,02-3225-22,2295 Andrews Ave,Bronx,10468
321,02-3213-14,2432 University Ave,Bronx,10468
322,02-3183-37,2356 Walton Avenue,Bronx,10468
323,02-3182-19,2270 Walton Ave,Bronx,10453
324,02-3152-3,2380 Ryer Ave,Bronx,10458
325,2-3111-9,814 East 181st Street,Bronx,10460
326,1-01730-0045,10 West 135th Street,New York,10037
327,1-01730-0036,2186 Fifth Avenue,New York,10037
328,1-01730-0025,25 West 132nd Street,New York,10037
329,1-01730-0064,40 West 135th Street,New York,10037
330,1-01730-0075,470 Lenox Avenue,New York,10037
331,1-01730-0009,45 West 132nd Street,New York,10037
332,1-01532-0004,200 East 87th Street,New York,10128
333,1-00832-0001,1239 Broadway,New York,10001
334,1-01332-0029,245 East 58th Street,New York,10022
335,2-05722-0475,2600 Netherland Ave,ronx,10463
336,2-03249-0006,2766 university avenue,Bronx,10468
337,1-02051-0001,630 St Nicholas Ave,New York,10030
338,1-01576-0001,501 East 79th Street,New York,10075
339,2028920011,1818 Anthony Ave.,Bronx,10457
340,2024780030,80 McClellan St.,Bronx,10452
341,2024560181,185 McClellan St.,Bronx,10456
342,2024560175,1181 Sheridan Ave.,Bronx,10456
343,1020530014,281 Edgecombe Ave.,New York,10031
344,2028540056,2025 Walton Ave.,Bronx,10453
345,2028280030,1915 Morris Ave.,Bronx,10453
346,2030220010,2390 Tiebout Ave.,Bronx,10458
347,2032900042,2805 Pond Place,Bronx,10458
348,2028050001,1860 Morris Ave.,Bronx,10453
349,2031820008,2256 Walton Ave.,Bronx,10453
350,2028100013,214 East 179th St.,Bronx,10457
351,2031570017,2180 Anthony Ave.,Bronx,10457
352,2025240018,935 Ogden Ave.,Bronx,10452
353,2031020039,2357 Prospect Ave.,Bronx,10458
354,4014320034,33-52 85th Street,Jackson Heights,11372
355,2-02882-0229,"10,20,30,40 Richman Plaza",Bronx,10453
356,1-01149-0033,370 Columbus Avenue,Manhattan,10024
357,2-3310-0081,2955 Grand Concourse,Bronx,10468
358,1-02225-0010,73-83 Vermilyea Avenue,Manhattan,10034
359,1-2174-0145,15 Sickles Street,New York,10040
360,1-2168-0031,621 w 188th Street,New York,10040
361,2-3200-0016,6 West 190th Street,Bronx,10468
362,2-03310-0081,2955 Grand Concourse,Bronx,10468
363,1-02225-0010,73-83 Vermilyea Avenue,Manhattan,10034
364,1-02174-0145,15 Sickles Street,New York,10040
365,1-02168-0031,621 w 188th Street,New York,10040
366,2-03200-0016,6 West 190th Street,Bronx,10468
367,1-02133-0016,214 Audubon Avenue,Manhattan,10033
368,1-02133-0050,220 Audubon Avenue,Manhattan,10033
369,1-02133-0046,228 Audubon Avenue,Manhattan,10033
370,1-02133-0080,240 Audubon Avenue,Manhattan,10033
371,1-02133-0076,248 Audubon Avenue,Manhattan,10033
372,1012170057,162-168 West 87th Street,New York,10024
373,1012020001,595 Columbus Avenue,New York,10024
374,2-05771-0020,3600 Fieldston Road,Bronx,10463
375,1005660018,20 East 9th Street,New York,10003
376,1-00785-0029,213 West 35th Street,New York,10001
377,3-05154-0047,415 Stratford Road,Brooklyn,11218
378,4-01307-0023,67-14 41st Avenue,Queens,11377
379,4-01333-0086,43-14 60th Street,Queens,11377
380,4-01505-0037,40-70 Hampton Street,Queens,11373
381,4-01566-0001,42-07 Elbertson Street,Queens,11373
382,4-04769-0001,25-11 Union Street,Queens,11354
383,2-05444-0095,3077 Cross Bronx Expressway,Bronx,10465
384,2-02600-0131,488-500 Southern Boulevard,Bronx,10455
385,1-00523-0038,88 Bleecker Street,Manhattan,10012
386,2-05799-0073,3601 Johnson Avenue,Bronx,10463
387,4050200017,142-24 38 Avenue,Queens,11354
388,00475/1509,43 Wooster Street,New York,10013
389,3086880084,3108 Brighton 5th Street,brooklyn,11235
390,2025050064,1141-61 Jerome Avenue,Bronx,10452
391,2028780120,1710 Montgomery Avenue,Bronx,10453
392,2028780126,1730 Montgomery Avenue,Bronx,10453
393,2028780132,1750 Montgomery Avenue,Bronx,10453
394,3012970006,288 Crown Street,Brooklyn,11225
395,3013160001,307 Sterling Street,Brooklyn,11225
396,3014240063,853 Empire Blvd.,Brooklyn,11213
397,3-01326-0035,660 Empire Boulevard,Brooklyn,11213
398,3-05207-0030,540 East 22 Street,Brooklyn,11226
399,2-02510-0087,1165 Shakespeare Avenue,Bronx,10452
400,2-02465-0010,1224 Walton Avenue,Bronx,10452
401,2-02938-0009,1420 Crotona Park East,Bronx,10460
402,3-05229-0017,1345 Rogers Avenue,Brooklyn,11210
403,2-03330-0068,3100 Webster Avenue,Bronx,10467
404,1-00831-7501,24 West 30th Street,Manhattan,10001
405,4-00905-7501,25-40 Shore Blvd,Astoria,11102
406,2043290012,1055 Esplanade Avenue,Bronx,10461
407,2-02465-0038,1245 Grandview Place,Bronx,10452
408,2-02465-0038,1245 Grandview Place,Bronx,10452
409,1021220127,535 West 163 Street,New York,10032
410,3-06058-0001,8801 Shore Road,Brooklyn,11209
411,1-00880-7501,117 East 24 Street,Manhattan,10010
412,1-00796-7504,655 Sixth Avenue,New York,10010
413,4-09960-0005,187-35 Hillside Avenue,Jamaica,11432
414,1-00716-7505,456 West 19 Street,Manhattan,10011
415,1-00690-7501,520 West 19 Street,Manhattan,10011
416,2-03212-0088,2385 Grand Avenue,Bronx,10468
417,2-04319-0025,2198 Cruger Avenue,Bronx,10462
418,2-04317-0019,2180 Bronx Park East,Bronx,10462
419,2-04318-0030,2197-99 Cruger Ave,Bronx,10462
420,2-04319-0050,2141 Holland Avenue,Bronx,10462
421,3030820065,255 McKibbin Street,Brooklyn,11206
422,2-04543-0021,600 Burke Ave,Bronx,10467
423,2-03324-0130,3472 Knox Place,Bronx,10467
424,2-04543-0021,600 Burke Ave,Bronx,10467
425,2-03324-0130,3472 Knox Place,Bronx,10467
426,2-03249-0006,2766 university avenue,Bronx,10468
427,2-03178-0055,2065 Morris Avenue,Bronx,10453
428,1005750011,86 West 12th Street,New York,10011
429,1014920049,1067 Madison Avenue,New York,10028
430,1000697502,90 John Street,New York,10038
431,2025110077,95 West 162nd Street,Bronx,10452
432,2032960055,2861 Bainbridge Ave.,Bronx,10458
433,2033200013,26 Bedford Park Blvd.,Bronx,10468
434,1018880067,801 West End Avenue,New York,10025
435,1-01448-0001,301 East 73rd Street,New York,10021
436,1-01471-0003,1470 First Avenue,New York,10075
437,2-02880-0091,1610 Sedgwick Avenue,Bronx,10453
438,2-02880-0029,1600 Sedwick Avenue,Bronx,10453
439,4-01779-7501,38-11 108th Street,Corona,11368
440,4-01485-7501,40-40 75th Street,Elmhurst,11373
441,4-01256-0035,69-05 35th Avenue,Jackson Heights,11377
442,1-01145-0061,170 West 74th Street,New York,10023
443,1-02220-0005,97 Sherman Ave,New York,10034
444,2-03162-0045,2151 Grand Concourse,Bronx,10453
445,1-00277-7501,60 Henry Street,New York,10002
446,1-00274-7502,148 Madison Street,New York,10002
447,1-00237-7501,132 Mulberry Street,New York,10013
448,4-05051-0020,144-35 Sanford Avenue,Flushing,11355
449,4-05180-0022,140-20 Sanford Avenue,Flushing,11355
450,3-05906-0018,7200 Ridge Boulevard,Brooklyn,11209
451,4-00579-0087,31-74 29th Street,Long Island City,11106
452,4-00579-0082,31-62 29th Street,Long Island City,11106
453,4-00566-0001,32-16 33rd   AVENUE,Astoria,11106
454,3-05322-7501,346 Coney Island Avenue,Brooklyn,11218
455,3-05339-0061,227 Ocean Parkway,Brooklyn,11218
456,3-01098-0001,405 7 ave,Brooklyn,11215
457,3-05339-0001,205 Ocean Parkway,Brooklyn,11218
458,3-05258-7501,113 Prospect Park,Brooklyn,11218
459,3-06709-0001,1602 Avenue I,Brooklyn,11230
460,3-07656-0042,1801 Ocean Avenue,Brooklyn,11230
461,1-01197-7501,20 West 84th Street,New York,10024
462,3-07181-0001,2310 Ocean Parkway,Brooklyn,11223
463,3-07441-0231,2600 East 21 Street,Brooklyn,11235
464,3-06835-0012,3178 Nostrand Avenue,Brooklyn,11229
465,4-00031-7501,48-21 5th Street,Long Island City,11101
466,3-00036-7503,57 Front Street,Brooklyn,11201
467,3-00052-7501,85 Adams Street,Brooklyn,11201
468,3-06111-0001,94-11 Shore Road,Brooklyn,11209
