,"NYC Borough, Block and Lot (BBL)",Address 1,City,Postcode
16340,4-02281-0001,45-56 49th Street,Queens,10034
16341,1-00392-7501,143 Avenue B,New York,10009
16342,1-00857-7502,241 Fifth Avenue,New York,10016
16343,1-01590-0042,1 Gracie Square,New York,10028
16344,1-01499-7502,12 East 88th Street,New York,10128
16345,1-01349-0032,350 East 57th Street,New York,10022
16346,1-01026-7502,230 West 55th Street,New York,10019
16347,1-00928-7504,300 East 23rd Street,New York,10010
16348,1-00767-7505,212 West 18th Street,New York,10011
16349,1-01364-0005,415 East 52nd Street,New York,10022
16350,1-00551-0001,2 Fifth Avenue,New York,10011
16351,4-01204-0001,35-27 64th Street,Queens,11377
16352,1-00721-7501,410-470 West 24th Street,New York,10011
16353,1-01364-0022,435 East 52nd Street,New York,10022
16354,1-01371-0038,25 Sutton Place South,New York,10022
16355,1-00142-0100,111 Murray Street,New York,10007
16356,4-00400-0208,30-02 39th Avenue,Queens,11101
16357,1-01383-0001,870 Fifth Avenue,New York,10065
16358,1-01396-0033,167 East 61st Street,New York,10065
16359,2-05722-0445,555 Kappock Street,Bronx,10463
16360,1-01446-7501,350 East 72nd Street,New York,10021
16361,4-00425-0005;4-000425-0001,23-10 Queens Plaza South,Queens,11101
16362,1-01345-7502,959 First Avenue,New York,10022
16363,1-01518-0069,1111 Park Avenue,New York,10128
16364,1-00244-0019,605 Water Street,New York,10002
16365,1-01522-0001,1185 Park Avenue,New York,10128
16366,1-01494-0069,1016 Fifth Avenue,New York,10028
16367,1-00601-7501,421 Hudson Street,New York,10014
16368,1-01390-0023,35 East 75th Street,New York,10021
16369,1-01369-0026,16 Sutton Place,New York,10022
16370,1008330022,31 West 31st St,New York,10001
16371,1-01362-7502,400 East 51st Street,New York,10022
16372,4-06690-0001,78-43 147th Street,Queens,11367
16373,1-01129-0039,6-16 West 77th Street,New York,10024
16374,1-01388-0033,778 Park Avenue,New York,10021
16375,1-01115-7501,25 Central Park West,New York,10026
16376,1-01880-0001,255 West 108th Street,New York,10025
16377,1-01363-0026,450 East 52nd Street,New York,10022
16378,1-01030-0048,230 Central Park South,New York,10019
16379,1-01398-0010,125 East 63rd Street,New York,10065
16380,1-01331-0017,235 East 57th Street,New York,10022
16381,1-01310-0059,136 East 56th Street,New York,10028
16382,1-01840-0029,444 Central Park West,New York,10025
16383,1-01510-0001,941 Park Avenue,New York,10028
16384,1-01506-0003,1133 Fifth Avenue,New York,10128
16385,1-01516-0001,1065 Park Avenue,New York,10128
16386,1-00243-0056,645-675 Water Street,New York,10002
16387,1-00793-7505,151 West 17th St,New York,10011
16388,1-01500-0020,47 East 88th Street,New York,10128
16389,1-01893-0035,375 Riverside Drive,New York,10025
16390,4-03907-0975,83-85 Woodhaven Boulevard,Queens,11421
16391,1-01498-0033,1040 Park Avenue,New York,10028
16392,1-01390-0003,944 Fifth Avenue,New York,10021
16393,1-01409-0001,799 Park Avenue,New York,10021
16394,1-01409-0009,123 East 74th Street,New York,10021
16395,1-00716-7501,444 West 19th Street,New York,10011
16396,1-00472-7501,240 Centre Street,New York,10013
16397,1-00903-7501,205-215 East 22nd Street,New York,10010
16398,1-01508-0072,911 Park Avenue,New York,10075
16399,1-01503-0014,15 East 91st Street,New York,10128
16400,1-00525-7506,184 Thompson Street,New York,10012
16401,1-01542-0033,330 East 80th Street,New York,10075
16402,1-01520-0004,1155 Park Avenue,New York,10128
16403,1-00566-0001,11 Fifth Avenue,New York,10003
16404,1-01011-0045,128 Central Park South,New York,10019
16405,1-01008-7503,150 West 56th Street,New York,10019
16406,1-01200-0031,262 Central Park West,New York,10024
16407,1-00259-0001,75 Montgomery Street,New York,10002
16408,1-01217-0014,145 West 86th Street,New York,10024
16409,1-01576-0014,515 East 79th Street,New York,10075
16410,1-00267-0001,25 Montgomery Street,New York,10002
16411,4-06671-0001,144-03 79th Avenue,Queens,11367
16412,1-00492-7501,14 Prince Street,New York,10012
16413,4-00062-7501,11-02 49th Avenue,Queens,11101
16414,1-00906-0001,201 East 25th Street,New York,10010
16415,1-01386-7501,50 East 72nd Street,New York,10021
16416,1-01412-0001,863 Park Avenue,New York,10075
16417,1-01336-0015,333 East 43rd Street,New York,10017
16418,1-01583-0012,525 East 86th Street,New York,10028
16419,1-01582-0023,120 East End Avenue,New York,10028
16420,1-01195-0018,15 West 81st Street,New York,10024
16421,4-02239-7501,111-20 73rd Avenue,Queens,11375
16422,4-00016-7501,2-17 51st Avenue,Queens,11101
16423,3-04415-7501,1019 Van Siclen Avenue,Brooklyn,11207
16424,4-05020-0001,142-05 Roosevelt Avenue,Queens,11354
16425,1-01580-0023,80 East End Avenue,New York,10028
16426,3-02166-0001,"60 Division Avenue/50-54,64-70 Division Avenue",Brooklyn,11211
16427,1-01515-0001,1045 Park Avenue,New York,10028
16428,1-01368-7501,444 East 57th Street,New York,10022
16429,1-01494-0001,1010 Fifth Avenue,New York,10028
16430,1-00556-0044,111 Fourth Avenue,New York,10003
16431,3-04423-7501,1019 Van Siclen Avenue,Brooklyn,11207
16432,1-01125-0025,1 West 72nd Street,New York,10023
16433,1-01399-0013,133 East 64th Street,New York,10065
16434,1-01250-0067,173-175 Riverside Drive,New York,10024
16435,1-00016-7516,2 River Terrace,New York,10282
16436,1-00848-7505,240 Park Avenue South,New York,10003
16437,1-01539-7501,245 East 93rd Street,New York,10128
16438,1-01381-0001,1 East 66th Street,New York,10065
16439,1-01491-0048,40 East 80th Street,New York,10075
16440,3-04414-7501,1019 Van Siclen Avenue,Brooklyn,11207
16441,1-01514-0008,111 East 85th Street,New York,10028
16442,1-01381-0038,650 Park Avenue,New York,10065
16443,1-01405-0072,733 Park Avenue,New York,10021
16444,1-01492-0037,930 Park Avenue,New York,10028
16445,1-01507-0069,1148 Fifth Avenue,New York,10128
16446,3-00178-0054,423 Atlantic Avenue,Brooklyn,11217
16447,1-01170-0012,229 West 78th Street,New York,10024
16448,1-01392-0040,876 Park Avenue,New York,10075
16449,1-01492-0003,993 Fifth Avenue,New York,10028
16450,1-01832-0025,7 West 96th Street,New York,10025
16451,3-00212-0001,140 Cadman Plaza West,Brooklyn,11201
16452,4-02290-0001,48-36 47th Street,Queens,11377
16453,1-00521-7505,36 Bleeker Street,New York,10017
16454,3053790006,4301 16th Ave,Brooklyn,11204
16455,1-01237-0017,205 West 89th Street,New York,10024
16456,4-08743-0102,268-19 82nd Avenue,Queens,11040
16457,1-01389-0069,936 Fifth Avenue,New York,10021
16458,1-01409-0061,120 East 75th Street,New York,10021
16459,1-01410-0069,829 Park Avenue,New York,10021
16460,4-02286-0011,47-05 48th Street,Quuens,11377
16461,4-05893-7501,209-90 23rd Avenue,Queens,11360
16462,1-01347-7501,300 East 55th Street,New York,10022
16463,1-01151-7502,10 West End Avenue,New York,10023
16464,3-00244-7502,138 Pierrepont Street,Brooklyn,11201
16465,1-01425-7501,233 East 70th Street,New York,10021
16466,1-01473-7504,408 East 79th Street,New York,10075
16467,1-01420-7501,200 East 66th Street,New York,10065
16468,1-01416-7501,200 East 62nd Street,New York,10065
16469,1-01005-7501,135 West 52nd Street,New York,10019
16470,1-01389-7503,33 East 74th Street,New York,10021
16471,3-00458-0001,365 Bond Street,Brooklyn,11231
16472,1-00574-0067,45 West 10th Street,New York,10011
16473,1-01447-7502,1355 First Avenue,New York,10021
16474,1-01384-7502,15 East 69th Street,New York,10021
16475,1-01549-0018,345 East 86th Street,New York,10028
16476,1-01458-0005,405 East 63rd Street,New York,10065
16477,1004607502,210 E 5th St,NEw York,10003
16478,1-01388-0056,20 East 74th Street,New York,10021
16479,1-01504-0031,1160 Park Avenue,New York,10128
16480,1-00626-0012,61 Jane Street,New York,10014
16481,3004010062,577 Baltic St,Brooklyn,11217
16482,1-01018-7502,247 West 46th Street,New York,10036
16483,1-01577-7504,20 East End Avenue,New York,10028
16484,1-01118-7502,22 West 66th Street,New York,10023
16485,4-02215-0001,70-20 108th Street,Queens,11375
16486,2-03663-0002,1760 Bruckner Blvd,Bronx,10473
16487,1-01499-0071,1067 Fifth Avenue,New York,10128
16488,1-00208-7501,129 Lafayette Street,New York,10013
16489,1-00636-7503,150 Charles Street,New York,10014
16490,1-01320-7501,240 East 47th Street,New York,10017
16491,1-01363-0027,444 East 52nd Street,New York,10022
16492,1-01350-0001,303 East 57th Street,New York,10022
16493,1-00826-7501,10 Madison Square West,New York,10010
16494,2-03663-0002,1790 Bruckner Blvd,Bronx,10473
16495,2-03663-0002,1770 Bruckner Blvd,Bronx,10473
16496,2-03663-0002,1810 Bruckner Blvd,Bronx,10473
16497,2-02761-0024,1150 Garrison Ave,Bronx,10459
16498,2-02722-0040,887 Southern Blvd,Bronx,10459
16499,1-00768-0059,250 West 19th Street,New York,10011
16500,1-00861-0027,31 East 31st Street,New York,10016
16501,1-01437-0029,344 East 63rd Street,New York,10065
16502,1-00466-7502,200 East 11th Street,New York,10003
16503,1-01563-0020,451 East 83rd Street,New York,10028
16504,3-01118-0002,461 Dean Street,Brooklyn,11217
16505,4-00268-0008,27-19 44th Drive,Queens,11101
16506,1-00710-7501,515 West 38th Street,New York,10018
16507,1-00754-0031,309 West 30th Street,New York,10001
16508,1-00754-0016,345 West 30th Street,New York,10001
16509,1008227503,9 W 20th ST,New York,10011
16510,1004940015,40 Prince St,New York,10012
16511,1008180073,42 W 17th St,New York,10011
16512,1007997501,124 W 24th St,New York,10011
16513,1010557501,447 W 45th St,New York,10036
16514,4-09914-0030,88-15 179th Street,Queens,11432
16515,4-09827-0008,88-05 171 st Street,Queens,11432
16516,2027350020,925 Hunts Point Ave,Bronx,10459
16517,4-09814-0001,164-03 89th Avenue,Queens,11432
16518,3-06764-0061,1577 East 17th Street,Brooklyn,11230
16519,3-08686-0071,3110 BRIGHTON 4 STREET,BROOKLYN,11235
16520,3-08714-0015,3015 Brighton 13th St,Brooklyn,11235
16521,3-05635-0028,1360 48th St,Brooklyn,11219
16522,3-05656-0034,1370 51st St,Brooklyn,11219
16523,3-05442-0006,4701 15th Ave,Brooklyn,11219
16524,3-07397-0034,1245 Avenue X,Brooklyn,11235
16525,3-05458-0006,5001 15th Ave,Brooklyn,11219
16526,3-06725-0001,1402 Avenue K,Brooklyn,11230
16527,3-07397-0034,1245 Avenue X,Brooklyn,11235
16528,3023520009,241 Bedford Avenue,Brooklyn,11222
16529,3023680001,143 Roebling Street,Brooklyn,11211
16530,4-09755-0001,89-21 153rd Street,Queens,11432
16531,4-02474-0021,51-25 Van Kleeck Street,Queens,11373
16532,3-06764-0061,1577 East 17th Street,Brooklyn,11230
16533,3-08686-0071,3110 BRIGHTON 4 STREET,BROOKLYN,11235
16534,3-08714-0015,3015 Brighton 13th St,Brooklyn,11235
16535,3-05635-0028,1360 48th St,Brooklyn,11219
16536,4-05010-0063,36-40 Bowne St,Flushing,11354
16537,3-05656-0034,1370 51st St,Brooklyn,11219
16538,3-05442-0006,4701 15th Ave,Brooklyn,11219
16539,3-05458-0006,5001 15th Ave,Brooklyn,11219
16540,3-06725-0001,1402 Avenue K,Brooklyn,11230
16541,3076480016,2635 Nostrand Ave,Brooklyn,11210
16542,3046890031,459 E 92nd St,Brooklyn,11211
16543,3046890038,455 E 92nd St,Brooklyn,11212
16544,3067130041,1123 Avenue K,Brooklyn,11230
16545,3050790001,1806 Caton Ave,Brooklyn,11226
16546,1-02009-0029,585 Lenox Avenue,New York,10037
16547,3012110039,1354 Bedford Ave,Brooklyn,11216
16548,1-01829-0033,1878 7th Ave,New York,10026
16549,1-01905-0036,100 West 121st St,New York,10027
16550,1-01570-0031,434 E 91st St,New York,10128
16551,1-01823-0063,1867 7th Ave,New York,10026
16552,3-02418-0005,323 Bedford Ave,Brooklyn,11211
16553,3011780067,527 Lincoln Place,Brooklyn,11238
16554,4015110032,40-71 Elbertson Street,Elmhurst,11373
16555,3011780087,487 Lincoln Place,Brooklyn,11238
16556,3-06768-0070,1675 E 21st,Brooklyn,11210
16557,4-01527-7501,42-15 81st,Elmhurst,11373
16558,3-06792-0015,2992 Nostrand,Brooklyn,11229
16559,4-00429-7501,42-60 Crescent,Long Island City,11101
16560,1-00024-7501,40 Broad Street,Manhattan,10004
16561,1-00076-0006,56 Fulton Street,Manhattan,10038
16562,1-00135-7508,16 Warren Street,Manhattan,10007
16563,3075540048,712 EAST 27TH STREET,BROOKLYN,11210
16564,1-01750-0028,69 East 125 Street,Manhattan,10035
16565,3-00055-7502,206 Front Street,Brooklyn,11201
16566,3-02298-0013,174 North 11 Street,Brooklyn,11211
16567,1-00133-7510,55 Warren Street,Manhattan,10007
16568,1-02050-0100,13-19 Hamilton Terrace,Manhattan,10031
16569,4-00045-7502,47-28 11 Street,Queen,11101
16570,4-00424-0025,42-14 Crescent Street,Queens,11101
16571,4-01947-0001,99-11 60 Avenue,Queens,11368
16572,1-01882-0047,526 West 111 Street,Manhattan,10025
16573,3-05374-0021,370 Ocean Parkway,Brooklyn,11218
16574,3-01128-7501,700 Pacific Street,Brooklyn,11217
16575,1-00218-0024,67 Vestry Street,Manhattan,10013
16576,2-02446-0021,977 Grant Avenue,Bronx,10456
16577,2-03327-0119,3467 Dekalb Ave,Bronx,10467
16578,1-01206-0001,70 West 93rd Street,New York,10025
16579,1-01832-0043,28-50 West 97th Street,New York,10025
16580,1-02139-0187,105 Haven Avenue,New York,10032
16581,1-00142-0025,310 Greenwich Street / 40 Harrison Street,New York,10013
16582,4-15543-0035,1170 Nameoke St,Queens,11691
16583,1-02073-0001,3458-68 Broadway,New York,10031
16584,1-02072-0039,87 Hamilton Place,New York,10031
16585,1-02090-0036,3513-15 Broadway,New York,10031
16586,1-02122-0120,1061 St. Nicholas Avenue,New York,10032
16587,1-02133-0001,1300-12 St. Nicholas Avenue,New York,10033
16588,1-02136-0145,65 Ft. Washington Avenue,New York,10032
16589,1-02144-0061,1301-13 St. Nicholas Avenue,New York,10033
16590,3067390036,1902 AVE L,BROOKLYN,11230
16591,1-02176-0050,4231-39 Broadway,New York,10033
16592,1-02176-0138,4241-47 Broadway,New York,10033
16593,1-02217-0001,117-23 Dyckman Street,New York,10040
16594,1-02235-0029,118-28 Vermilyea Avenue,New York,10034
16595,1-02235-0035,106-16 Vermilyea Avenue,New York,10034
16596,1-02176-0074,701 West 177th Street,New York,10033
16597,2-02474-0001,811 Walton Avenue,Bronx,10451
16598,1-02246-0125,1795 Riverside Drive,New York,10034
16599,2-02526-0090,1131-33 Ogden Avenue,Bronx,10452
16600,1-00468-0027,236 East 13th Street,New York,10003
16601,2-02880-0115,1655 Undercliff Avenue,Bronx,10453
16602,2-02881-0058,1889 Sedgwick Avenue,Bronx,10453
16603,1-00469-0030,223 2nd Avenue,NY,10003
16604,2-03682-0001,2010-42 Bruckner Boulevard,Bronx,10473
16605,2-03670-0001,950 Underhill Avenue,Bronx,10473
16606,2-04290-0008,801-11 Neill Avenue,Bronx,10462
16607,2-03778-0010,1240 Morrison Avenue,Bronx,10472
16608,3-01010-0026,288 9th Street,Brooklyn,10003
16609,3-05099-0106,522 Ocean Avenue,Brooklyn,11226
16610,3-01189-0060,49-57 Crown Street,Brooklyn,11225
16611,4-01451-0001,90-10 34th Avenue,Queens,11372
16612,3-06706-0014,918 East 14th Street,Brooklyn,11230
16613,1-01882-0028,1020-26 Amsterdam Avenue,New York,10025
16614,1-01206-0045,50 West 93rd Street,New York,10025
16615,1-01167-0059,252 West 76th Street,New York,10023
16616,1-01240-0001,666-68 West End Avenue,New York,10025
16617,1-01340-0001,884-90 2nd Avenue,New York,10022
16618,1-01868-7502,752 West End Avenue,New York,10025
16619,1-01344-0041,320-22 East 52nd Street,New York,10022
16620,5-00013-0008,185 St. Marks Place,Staten Island,10301
16621,1-02176-0070,4191 broadway,New York,10033
16622,1-02002-0034,600 West 136th Street,New York,10031
16623,3-05287-0021,800 Greenwood Ave,Brooklyn,11218
16624,3-06773-0080,1525 East 26 Street,Brooklyn,11229
16625,3-06773-0080,1525 East 26 Street,Brooklyn,11229
16626,1-00788-0016,257 West 38 Street,New York,10018
16627,1-00761-0020,323 West 37 Street,New York,10001
16628,4-09693-0011,88-09 148 Street,Jamaica,11435
16629,3-06511-0012,824 East 9th Street,Brooklyn,11230
16630,3-05438-0049,1753 47th Street,Brooklyn,11204
16631,3011780079,495 Lincoln Place,Brooklyn,11238
16632,1-01726-0069,370 Lenox Avenue,New York,10027
16633,3034940028,1561 Pitkin Ave,Brooklyn,11212
16634,2-02439-0001,1220 Morris Ave,Bronx,10456
16635,2-02439-0080,1221 College Ave,Bronx,10456
16636,4006280027,28-28 35 Street,Astoria,11103
16637,4012800001,80-08 35th Avenue,Jackson Heights,11030
16638,4003410021,35-03 29 Street,Queens,11106
16639,4008480069,20-78 31 Street,Queens,11105
16640,4005880030,31-21 29 Street,Queens,11106
16641,4006140010,31-77 32 Street,Queens,11106
16642,3064090001,2001 Bath Avenue,Brooklyn,11214
16643,3-06836-0050,3203 Nostrand Ave,Brooklyn,11229
16644,1-01521-0020,145 East 92 Street,Manhattan,10128
16645,1-01236-0010,255 West 88th Street,Manhattan,10024
16646,2057960129,3660 Oxford Ave,Bronx,10463
16647,1-01059-0008,447-449 W 49th St,New York,10019
16648,1012280001,420 West End Ave,Manhattan,10024
16649,1000920032,19 Beekman Street,NY,10038
16650,1015020052,46 East 91st Street,Manhattan,10128
16651,1012000025,5 West 86th Street,Manhattan,10024
16652,3-02721-7503,20 Bayard St,Brooklyn,11211
16653,1012000005,51 West 86th Street,Manhattan,10024
16654,2-03285-0052,2965 Decatur Avenue,Bronx,10458
16655,3-01960-7501,430 Clinton Avenue,Brooklyn,11238
16656,4-02288-0027,48-1045 STREET,Woodside,11377
16657,1007660009,253 W 16th St,New York,10011
16658,1012500110,320 W 90th St,New York,10024
16659,1018870058,777 West End Ave,Manhattan,10025
16660,4005060029,11-05 30 ROAD,QUEENS,11102
16661,5-01548-0100,1535 Richmond Avenue,NY,10314
16662,3052020029,580 East 17th Street,Brooklyn,11226
16663,2-04594-0048,665 Burke Ave.,Bronx,10467
16664,1012260040,110 West 96th Street,Manhattan,10025
16665,2-03356-0099,3525 Hull Ave,Bronx,10467
16666,2-02362-0021,2922 3rd Ave,Bronx,10455
16667,1-01870-0029,201 W 98th St,New York,10025
16668,2-04340-0037,2330 Bronx Park East,Bronx,10467
16669,2-02506-0111,1282 Shakespeare Ave,Bronx,10452
16670,2-02814-0008,304 Echo Place,Bronx,10457
16671,1-01993-0040,126 La Salle St,New York,10027
16672,3-01381-0044,546 Ralph Ave,Brooklyn,11233
16673,3-00319-0007,177 Columbia St,Brooklyn,11231
16674,1-01531-0037,222 E 86th St,New York,10028
16675,2-02784-0029,1401 Teller Ave,Bronx,10456
16676,2-03306-0001,2950 Grand Concourse,Bronx,10458
16677,2-02957-0008,867 Crotona Park North,Bronx,10460
16678,2-03997-0025,2432 Lyvere St,Bronx,10461
16679,1-01078-0043,516 W 50th St,New York,10019
16680,1018880087,276 Riverside Drive,Manhattan,10025
16681,1-01581-0030,110 East End Ave,Manhattan,10028
16682,2-02439-0090,1205 College Ave,Bronx,10456
16683,1-00893-0017,123 East 37th Street,New York,10016
16684,1-01873-0052,240 West 102nd Street,New York,10025
16685,1-01892-0046,2783 Broadway,New York,10025
16686,3-05054-7501,353 Ocean Ave,Brooklyn,11226
16687,3018920048,74 Grand Avenue,Brooklyn,11205
16688,2-03276-0020,"365 EAST 193 STREET,",BRONX,10458
16689,2-02697-0010,"894 ROGERS PLACE,",BRONX,10459
16690,4-01780-0036,39-02 111 Street,Corona,11368
16691,4-09231-0091,83-15 Lefferts Blvd.,Kew Gardens,11415
16692,3-07233-0021,2670 Colby Court,Brooklyn,11214
16693,2-05857-7501,5775 Mosholu Ave,Bronx,10471
16694,3-07232-0081,576 Avenue Z,Brooklyn,11223
16695,2025180026,132 W 169th ST,Bronx,10452
16696,1009270018,329 E 21st St,New York,11226
16697,1001740037,349 Broadway,NY,10013
16698,4-01780-0036,39-02 111 Street,Corona,11368
16699,3-01158-0061,225 Park Place,Brooklyn,11215
16700,4-06527-0050,144-55 Melbourne Ave,Queens,11367
16701,3-01171-7501,44 Butler Place,Brooklyn,11238
16702,1-02134-7501,"801 RIVERSIDE DRIVE,",NEW YORK,10032
16703,3-06836-0064,3165 Nostrand Ave,Brooklyn,11229
16704,4-09917-0013,88-30 182nd St,Queens,11423
16705,3075520047,2420 GLENWOOD ROAD,BROOKLYN,11210
16706,3-04906-0001,3500 SNYDER AVE,Brooklyn,11203
16707,4014337501,85-11 34th Ave,Queens,11372
16708,3-01901-0007,196 Clinton Ave,Brooklyn,11205
16709,3-01420-0061,1049 Montgomery Street,Brooklyn,11213
16710,1-01380-7501,40 East 66th Street,New York,10065
16711,1-01397-7505,140 East 63rd Street,New York,10065
16712,1-01584-7501,170 East End Avenue,New York,10128
16713,1-01009-7501,146 West 57th Street,New York,10019
16714,1-01429-7502,255 East 74th Street,New York,10021
16715,1-01171-7508,60 Riverside Blvd.,new York,10069
16716,3-00238-0065,40 Clinton Street,Brooklyn,11201
16717,1-02050-0011,295 Convent Avenue,New York,10031
16718,1-01877-0061,936 West End Ave,New York,10025
16719,3-05861-0057,6830 Ridge Blvd,Brooklyn,11220
16720,4001050022,23-49 Borden Ave,Queens,11101
16721,2045110028,2758 HOLLAND AVENUE,NY,10467
16722,1005290062,49 Bleecker St,NY,10012
16723,4001980005,47-51 40th Street,Queens,11104
16724,3-05988-0039,8000 4 AVE,Brooklyn,11209
16725,3-06037-0001,8523 FT HAMILTON PKWY,Brooklyn,11209
16726,2-03071-0025,2239 Adams Place,Bronx,10457
16727,2-03173-0025,2377 Creston Ave,Bronx,10468
16728,2-02504-0036,941 Jerome Ave,Bronx,10452
16729,2-03256-0156,2865 Kingsbridge Terrace,Bronx,10468
16730,2-02688-0035,853 Macy Place,Bronx,10455
16731,2-03142-0030,306 E 180th St,Bronx,10457
16732,2-03163-0006,2244 Creston Avenue,Bronx,10453
16733,1-01078-0008,541-545 West 49 Street,Manhattan,10019
16734,1-01563-0005,411 East 83 Street,Manhattan,10028
16735,1-02158-0079,480 Audubon Avenue,Manhattan,10040
16736,2-03144-0045,2162 Valentine Avenue,Bronx,10457
16737,1-00016-7501,377 Rector Place,New York,10280
16738,3-06911-0006,2629 Cropsey Avenue,Brooklyn,11214
16739,1-00016-7507,300 Rector Place,New York,10280
16740,4-03257-7501,107-24 71st Road,Queens,11375
16741,1-01533-0032,230 East 88th Street,New York,10128
16742,1-01554-0023,333 East 91st Street,New York,10128
16743,1-00016-7503,250 South End Avenue,New York,10280
16744,1-00493-0041,21 Spring Street,New York,10012
16745,3-00476-7501,505 Court Street,Brooklyn,11231
16746,1-01370-0038,414 East 59th Street,New York,10022
16747,4-08310-7502,241-10 Oak Park Drive,Queens,11362
16748,1-00910-7501,250 East 30th Street,New York,10016
16749,5-01272-0011,35-85 Holland Avenue,Staten Island,10303
16750,1-00016-7502,320-350 Albany Street,New York,10280
16751,1-00016-7504,300 Albany Street,New York,10280
16752,3-00476-0019,204 Huntington Street,Brooklyn,11231
16753,2-03115-0021,2475 Southern Boulevard,Bronx,10458
16754,2-03114-0052,2375 Southern Boulevard,Bronx,10460
16755,1-01537-0022,1751 Second Avenue,New York,10128
16756,3-04271-9001,735 Lincoln Avenue,Brooklyn,11208
16757,2-03115-0005,2403 Southern Boulevard,Bronx,10458
16758,3-04271-0005,671 Lincoln Avenue,Brooklyn,11208
16759,4-08310-7501,239-12 Oak Park Drive,Queens,11362
16760,1-01536-7501,1601 Third Avenue,New York,10128
16761,1-01537-7501,1623 Third Avenue,New York,10128
16762,1-00016-0015,50 Battery Place,New York,10280
16763,2-03251-0490,10 West Mosholu Parkway,Bronx,10468
16764,1-01169-7502,230 West 78th Street,New York,10024
16765,4-02224-7502,108-20 71st Avenue,Queens,11375
16766,1-01779-0007,107 East 130th Street,New York,10037
16767,4051857501,43-43 Kissena Boulevard,Flushing,11355
16768,1-01487-7502,530 East 76th Street,New York,10021
16769,1-01717-0069,86 West 119th Street,New York,10026
16770,1-01864-0009,424 West 110th Street,New York,10025
16771,3021477505,134 South 9 St,Brooklyn,11211
16772,3022357506,18 LYNCH ST,Brooklyn,11206
16773,3021350003,22 SOUTH 9 ST,Brooklyn,11249
16774,3022647514,278 WALLABOUT ST,Brooklyn,11206
16775,3022647513,282 WALLABOUT ST,Brooklyn,11206
16776,3022647515,298 Wallabout St,Brooklyn,11206
16777,3022497501,437 MARCY AVE,Brooklyn,11206
16778,3022507501,165 HARRISON AVE,Brooklyn,11206
16779,3022417529,119 LORIMER STREET,Brooklyn,11206
16780,3056177502,1323 46 ST,Brooklyn,11219
16781,3030767501,18 Boerum St,Brooklyn,11206
16782,3022017502,266 KEAP STREET,Brooklyn,11211
16783,3022647518,268 WALLABOUT ST,Brooklyn,11206
16784,3021357507,"29 SOUTH 10, BROOKLYN 11249",Brooklyn,11249
16785,3022647521,290 Wallabout St,Brooklyn,11206
16786,3022517501,341 WALLABOUT ST,Brooklyn,11206
16787,3022407511,40 Middleton St,Brooklyn,2006
16788,3021327501,405 Bedford Ave,Brooklyn,11211
16789,3022047502,616 Bedford Ave,Brooklyn,11249
16790,3019000016,85 SKILLMAN ST,Brooklyn,11205
16791,3053677502,3715 15TH AVE,Brooklyn,11218
16792,2-03330-0068,3100 Webster Avenue,Bronx,10467
16793,3-05229-0017,1345 Rogers Avenue,Brooklyn,11210
16794,3014090044,1717 caroll street,Brooklyn,11213
16795,4-00422-0001,27-03 42nd Road,Queens,11101
16796,3-02736-0001,544 UNION AVE,Brooklyn,11211
16797,3-02731-0001,568 UNION AVE,Brooklyn,11211
16798,2-02333-0001,255 East 138th Street,Bronx,10451
16799,3067670026,1660 EAST 21ST STREET,BROOKLYN,11210
16800,3012727501,866 Eastern Parkway,Brooklyn,11213
16801,3001080012,180 Nassau Street,Brooklyn,11201
16802,3045920012,106 REMSEN AVE,BROOKLYN,11203
16803,3047937502,523 - 531 Brooklyn Ave.,Brooklyn,11225
16804,3001520028,72 WILLOUGHBY ST.,BROOKLYN,11201
16805,3014120050,621 CROWN STREET,Brooklyn,11213
16806,3012707502,636-640 EASTERN PKWY,Brooklyn,11213
16807,3012760023,1254 Union Street,Brooklyn,11225
16808,2-04624-0037,3377 White Plains Road,Bronx,10467
16809,,209 EAST 16 ST,BROOKLYN,11226
16810,3-05042-0089,45 Hawthorne Street,Brooklyn,11225
16811,3050450078,55 winthrop street,brooklyn,11225
16812,3050650021,130 clarkson avenue,brooklyn,11226
16813,3051720023,250 east 29th street,brooklyn,11226
16814,,1301 AVENUE K,BROOKLYN,11230
16815,,354 EAST 21 ST,brooklyn,11226
16816,3051730045,251 E. 29TH STREET,BROOKLYN,11226
16817,3065980042,1590 w. 8th street,BROOKLYN,11204
16818,3014230024,888 MONTGOMERY STREET,BROOKLYN,11213
16819,3075840019,1439 Ocean Avenue,Brooklyn,11230
16820,,1633 West 10th street,brooklyn,11223
16821,,192-198 Nagle Avenue,new york,10034
16822,3013270031,131 LINCOLN ROAD,BROOKLYN,11225
16823,3067820050,1909 Quentin Road,Brooklyn,11229
16824,3054170001,645 Ocean Parkway,Brooklyn,11230
16825,,105 Avenue P,brooklyn,11204
16826,,100 Linden Blvd,Brooklyn,11226
16827,,2003 Avenue J,brooklyn,11210
16828,,1269 East 18th Street,brooklyn,11210
16829,,334 EASTERN PARKWAY,brooklyn,11225
16830,,776 CROWN ST,brooklyn,11213
16831,,271 PARKSIDE AVE,brooklyn,11226
16832,,840 EAST 17 ST,brooklyn,11230
16833,,333 NEPTUNE AVE,brooklyn,11235
16834,,3402 AVENUE I,brooklyn,11210
16835,,1690 PRESIDENT ST,brooklyn,11213
16836,,575 HERKIMER ST,brooklyn,11213
16837,,1921 AVENUE I,brooklyn,11230
